Quarter,Comparison_Type,Group,Metric,Current_Value,Comparison_Value,Absolute_Change,Percent_Change,Direction
FY2023Q2,QoQ vs FY2023Q1,Enterprise,# of Opps,756.0,692.0,64.0,9.248554913294797,Increase
FY2023Q2,QoQ vs FY2023Q1,Enterprise,# of Won Opps,231.0,266.0,-35.0,-13.157894736842104,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise,Avg Sales Cycle,67.46753246753246,52.714285714285715,14.75324675324675,27.987188962798708,Increase
FY2023Q2,QoQ vs FY2023Q1,Enterprise,Avg Sales Price,5471.6946320346315,6811.498496240601,-1339.8038642059691,-19.669737355817272,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise,Total ARR,1295961.46,1811858.6,-515897.14000000013,-28.473366519881854,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise,Win Rate (Count),30.555555555555557,38.4393063583815,-7.8837508028259435,-20.509607351712607,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise,Won ARR,1263961.46,1811858.5999999999,-547897.1399999999,-30.239508756367627,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise - Expansion,# of Opps,392.0,389.0,3.0,0.7712082262210797,Increase
FY2023Q2,QoQ vs FY2023Q1,Enterprise - Expansion,# of Won Opps,187.0,226.0,-39.0,-17.25663716814159,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise - Expansion,Avg Sales Cycle,59.54545454545455,43.83185840707964,15.713596138374903,35.849714589872086,Increase
FY2023Q2,QoQ vs FY2023Q1,Enterprise - Expansion,Avg Sales Price,6213.764705882353,7719.909380530974,-1506.1446746486208,-19.509875056914574,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise - Expansion,Total ARR,1193974.0,1744699.52,-550725.52,-31.565637159113795,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise - Expansion,Win Rate (Count),47.704081632653065,58.09768637532133,-10.393604742668266,-17.889877189813966,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise - Expansion,Won ARR,1161974.0,1744699.52,-582725.52,-33.39976387452666,Decrease
