SFDC ID 18 Digit,Created Date,SQO Date,SAO Date,Close Date,Timestamp: Solution Validation,Source,Segment - historical,Bookings Type,Stage,ARR Change,Account Name,Opportunity Name,Owner Name,Product,Lead Source
00Q000000000000000,2025-04-30 10:16:21.705135,,,,,AE,Enterprise,New Business,Qualification,0.0,Account_0000,Opportunity_0000,Rep_44,Integrations,Partner
00Q000000000000001,2023-10-13 10:16:21.705135,2023-10-13 10:16:21.705135,,,,Success,Enterprise,New Business,Qualification,0.0,Account_0001,Opportunity_0001,Rep_13,Integrations,Partner
00Q000000000000002,2024-09-17 10:16:21.705135,,,,,Marketing,Enterprise,New Business,Qualification,0.0,Account_0002,Opportunity_0002,Rep_22,Mobile,Referral
00Q000000000000003,2024-02-21 10:16:21.705135,2024-02-26 10:16:21.705135,,,,AE,Enterprise,Expansion,Proposal,0.0,Account_0003,Opportunity_0003,Rep_47,Mobile,Partner
00Q000000000000004,2023-11-20 10:16:21.705135,2023-11-26 10:16:21.705135,,,,AE,SMB,Expansion,Proposal,0.0,Account_0004,Opportunity_0004,Rep_03,Integrations,Referral
00Q000000000000005,2024-05-07 10:16:21.705135,2024-05-20 10:16:21.705135,,,,Channel,Mid Market,Expansion,Qualification,0.0,Account_0005,Opportunity_0005,Rep_11,Mobile,Event
00Q000000000000006,2024-02-15 10:16:21.705135,2024-02-26 10:16:21.705135,2024-03-17 10:16:21.705135,,2024-03-17 10:16:21.705135,BDR,SMB,New Business,Proposal,0.0,Account_0006,Opportunity_0006,Rep_30,Mobile,Event
00Q000000000000007,2025-05-01 10:16:21.705135,2025-05-04 10:16:21.705135,2025-05-05 10:16:21.705135,,2025-05-05 10:16:21.705135,Success,Mid Market,Expansion,Proposal,0.0,Account_0007,Opportunity_0007,Rep_46,Mobile,Referral
00Q000000000000008,2025-05-17 10:16:21.705135,2025-05-31 10:16:21.705135,2025-06-14 10:16:21.705135,,2025-06-14 10:16:21.705135,Marketing,Enterprise,Expansion,Proposal,0.0,Account_0008,Opportunity_0008,Rep_38,Mobile,Event
00Q000000000000009,2024-02-25 10:16:21.705135,2024-02-27 10:16:21.705135,2024-02-29 10:16:21.705135,2024-03-14 10:16:21.705135,2024-02-29 10:16:21.705135,Marketing,Enterprise,Expansion,Closed Lost,0.0,Account_0009,Opportunity_0009,Rep_25,Integrations,Cold Call
00Q000000000000010,2025-01-07 10:16:21.705135,,,,,Success,SMB,New Business,Prospecting,0.0,Account_0010,Opportunity_0010,Rep_49,Mobile,Event
00Q000000000000011,2023-11-07 10:16:21.705135,,,,,BDR,Mid Market,Expansion,Prospecting,0.0,Account_0011,Opportunity_0011,Rep_33,Platform,Event
00Q000000000000012,2025-04-30 10:16:21.705135,2025-05-03 10:16:21.705135,,,,Success,SMB,New Business,Qualification,0.0,Account_0012,Opportunity_0012,Rep_21,Mobile,Website
00Q000000000000013,2023-11-07 10:16:21.705135,2023-11-21 10:16:21.705135,2023-11-30 10:16:21.705135,,2023-11-30 10:16:21.705135,Marketing,SMB,New Business,Proposal,0.0,Account_0013,Opportunity_0013,Rep_05,Integrations,Referral
00Q000000000000014,2023-11-24 10:16:21.705135,2023-12-02 10:16:21.705135,,,,Channel,Enterprise,New Business,Proposal,0.0,Account_0014,Opportunity_0014,Rep_26,Integrations,Event
00Q000000000000015,2024-10-06 10:16:21.705135,2024-10-13 10:16:21.705135,,,,Success,Enterprise,New Business,Qualification,0.0,Account_0015,Opportunity_0015,Rep_36,Platform,Partner
00Q000000000000016,2024-02-26 10:16:21.705135,,,,,Channel,Enterprise,New Business,Prospecting,0.0,Account_0016,Opportunity_0016,Rep_05,Integrations,Referral
00Q000000000000017,2024-04-26 10:16:21.705135,2024-04-29 10:16:21.705135,2024-05-17 10:16:21.705135,2024-06-17 10:16:21.705135,2024-05-17 10:16:21.705135,AE,Mid Market,New Business,Closed Won,34957.0,Account_0017,Opportunity_0017,Rep_43,Mobile,Event
00Q000000000000018,2024-09-21 10:16:21.705135,2024-10-04 10:16:21.705135,2024-10-25 10:16:21.705135,2025-01-15 10:16:21.705135,2024-10-25 10:16:21.705135,BDR,Mid Market,New Business,Closed Lost,0.0,Account_0018,Opportunity_0018,Rep_13,Platform,Partner
00Q000000000000019,2024-10-17 10:16:21.705135,,,,,AE,Mid Market,New Business,Prospecting,0.0,Account_0019,Opportunity_0019,Rep_29,Integrations,Website
00Q000000000000020,2023-09-05 10:16:21.705135,2023-09-13 10:16:21.705135,2023-09-15 10:16:21.705135,2023-10-15 10:16:21.705135,2023-09-15 10:16:21.705135,Marketing,Mid Market,New Business,Closed Lost,0.0,Account_0020,Opportunity_0020,Rep_04,Platform,Cold Call
00Q000000000000021,2023-07-18 10:16:21.705135,2023-07-22 10:16:21.705135,2023-08-05 10:16:21.705135,,2023-08-05 10:16:21.705135,AE,Enterprise,Expansion,Negotiation,0.0,Account_0021,Opportunity_0021,Rep_38,Integrations,Partner
00Q000000000000022,2023-09-16 10:16:21.705135,2023-09-16 10:16:21.705135,,,,AE,SMB,New Business,Proposal,0.0,Account_0022,Opportunity_0022,Rep_33,Platform,Referral
00Q000000000000023,2023-09-24 10:16:21.705135,2023-10-04 10:16:21.705135,2023-10-16 10:16:21.705135,,2023-10-16 10:16:21.705135,Success,SMB,New Business,Proposal,0.0,Account_0023,Opportunity_0023,Rep_06,Mobile,Partner
00Q000000000000024,2025-02-13 10:16:21.705135,2025-02-27 10:16:21.705135,,,,Channel,Enterprise,Expansion,Proposal,0.0,Account_0024,Opportunity_0024,Rep_30,Mobile,Website
00Q000000000000025,2023-07-25 10:16:21.705135,2023-08-03 10:16:21.705135,2023-08-05 10:16:21.705135,2023-10-08 10:16:21.705135,2023-08-05 10:16:21.705135,Channel,Mid Market,New Business,Closed Won,19016.0,Account_0025,Opportunity_0025,Rep_19,Platform,Cold Call
00Q000000000000026,2025-01-22 10:16:21.705135,2025-01-31 10:16:21.705135,2025-02-20 10:16:21.705135,2025-05-16 10:16:21.705135,2025-02-20 10:16:21.705135,BDR,Mid Market,New Business,Closed Won,96951.0,Account_0026,Opportunity_0026,Rep_17,Platform,Website
00Q000000000000027,2025-02-01 10:16:21.705135,,,,,Channel,SMB,Expansion,Qualification,0.0,Account_0027,Opportunity_0027,Rep_33,Mobile,Event
00Q000000000000028,2023-09-06 10:16:21.705135,,,,,Channel,Mid Market,New Business,Qualification,0.0,Account_0028,Opportunity_0028,Rep_50,Platform,Event
00Q000000000000029,2023-12-28 10:16:21.705135,2024-01-05 10:16:21.705135,2024-01-22 10:16:21.705135,,2024-01-22 10:16:21.705135,Channel,SMB,New Business,Proposal,0.0,Account_0029,Opportunity_0029,Rep_38,Integrations,Referral
00Q000000000000030,2024-09-28 10:16:21.705135,,,,,BDR,Mid Market,Expansion,Qualification,0.0,Account_0030,Opportunity_0030,Rep_43,Platform,Event
00Q000000000000031,2025-02-08 10:16:21.705135,2025-02-14 10:16:21.705135,2025-02-18 10:16:21.705135,2025-03-20 10:16:21.705135,2025-02-18 10:16:21.705135,BDR,Enterprise,New Business,Closed Won,266161.0,Account_0031,Opportunity_0031,Rep_48,Mobile,Cold Call
00Q000000000000032,2025-05-31 10:16:21.705135,2025-06-12 10:16:21.705135,,,,Marketing,SMB,Expansion,Qualification,0.0,Account_0032,Opportunity_0032,Rep_15,Platform,Cold Call
00Q000000000000033,2024-07-08 10:16:21.705135,2024-07-20 10:16:21.705135,2024-07-27 10:16:21.705135,,2024-07-27 10:16:21.705135,Channel,Mid Market,Expansion,Proposal,0.0,Account_0033,Opportunity_0033,Rep_23,Integrations,Partner
00Q000000000000034,2024-08-28 10:16:21.705135,2024-09-10 10:16:21.705135,2024-09-10 10:16:21.705135,,2024-09-10 10:16:21.705135,Success,Enterprise,Expansion,Negotiation,0.0,Account_0034,Opportunity_0034,Rep_28,Mobile,Event
00Q000000000000035,2024-10-04 10:16:21.705135,2024-10-12 10:16:21.705135,,,,Success,Mid Market,Expansion,Qualification,0.0,Account_0035,Opportunity_0035,Rep_44,Integrations,Referral
00Q000000000000036,2024-07-22 10:16:21.705135,2024-08-01 10:16:21.705135,2024-08-20 10:16:21.705135,,2024-08-20 10:16:21.705135,Channel,SMB,Expansion,Proposal,0.0,Account_0036,Opportunity_0036,Rep_26,Integrations,Event
00Q000000000000037,2025-02-02 10:16:21.705135,,,,,Success,SMB,New Business,Qualification,0.0,Account_0037,Opportunity_0037,Rep_37,Mobile,Cold Call
00Q000000000000038,2025-01-27 10:16:21.705135,2025-01-31 10:16:21.705135,,,,Marketing,SMB,Expansion,Proposal,0.0,Account_0038,Opportunity_0038,Rep_44,Platform,Partner
00Q000000000000039,2024-11-11 10:16:21.705135,2024-11-23 10:16:21.705135,2024-12-14 10:16:21.705135,,2024-12-14 10:16:21.705135,Channel,Enterprise,New Business,Negotiation,0.0,Account_0039,Opportunity_0039,Rep_15,Platform,Referral
00Q000000000000040,2023-08-10 10:16:21.705135,,,,,Success,SMB,Expansion,Qualification,0.0,Account_0040,Opportunity_0040,Rep_13,Integrations,Cold Call
00Q000000000000041,2024-12-03 10:16:21.705135,2024-12-05 10:16:21.705135,2024-12-05 10:16:21.705135,2024-12-18 10:16:21.705135,2024-12-05 10:16:21.705135,BDR,Enterprise,Expansion,Closed Won,34156.446114221,Account_0041,Opportunity_0041,Rep_08,Mobile,Referral
00Q000000000000042,2024-11-02 10:16:21.705135,2024-11-10 10:16:21.705135,2024-11-24 10:16:21.705135,2025-01-27 10:16:21.705135,2024-11-24 10:16:21.705135,Marketing,SMB,New Business,Closed Won,15611.0,Account_0042,Opportunity_0042,Rep_29,Mobile,Referral
00Q000000000000043,2025-04-28 10:16:21.705135,,,,,Channel,SMB,Expansion,Qualification,0.0,Account_0043,Opportunity_0043,Rep_16,Mobile,Event
00Q000000000000044,2024-06-07 10:16:21.705135,2024-06-08 10:16:21.705135,,,,AE,Mid Market,New Business,Qualification,0.0,Account_0044,Opportunity_0044,Rep_27,Mobile,Event
00Q000000000000045,2025-01-21 10:16:21.705135,2025-01-21 10:16:21.705135,,,,Success,Mid Market,New Business,Proposal,0.0,Account_0045,Opportunity_0045,Rep_25,Mobile,Website
00Q000000000000046,2024-07-10 10:16:21.705135,,,,,Marketing,Mid Market,New Business,Qualification,0.0,Account_0046,Opportunity_0046,Rep_15,Mobile,Cold Call
00Q000000000000047,2024-11-24 10:16:21.705135,,,,,Marketing,SMB,Expansion,Qualification,0.0,Account_0047,Opportunity_0047,Rep_09,Integrations,Partner
00Q000000000000048,2023-08-12 10:16:21.705135,2023-08-21 10:16:21.705135,2023-08-21 10:16:21.705135,,2023-08-21 10:16:21.705135,AE,Enterprise,New Business,Negotiation,0.0,Account_0048,Opportunity_0048,Rep_17,Mobile,Event
00Q000000000000049,2024-02-17 10:16:21.705135,2024-02-22 10:16:21.705135,2024-03-05 10:16:21.705135,,2024-03-05 10:16:21.705135,Success,Mid Market,Expansion,Negotiation,0.0,Account_0049,Opportunity_0049,Rep_04,Mobile,Referral
00Q000000000000050,2025-05-11 10:16:21.705135,,,,,AE,Enterprise,New Business,Prospecting,0.0,Account_0050,Opportunity_0050,Rep_40,Platform,Referral
00Q000000000000051,2023-11-22 10:16:21.705135,2023-11-23 10:16:21.705135,2023-11-29 10:16:21.705135,,2023-11-29 10:16:21.705135,BDR,Mid Market,New Business,Negotiation,0.0,Account_0051,Opportunity_0051,Rep_20,Platform,Partner
00Q000000000000052,2023-08-11 10:16:21.705135,2023-08-20 10:16:21.705135,2023-09-01 10:16:21.705135,,2023-09-01 10:16:21.705135,AE,Enterprise,New Business,Proposal,0.0,Account_0052,Opportunity_0052,Rep_45,Mobile,Partner
00Q000000000000053,2023-11-16 10:16:21.705135,2023-11-25 10:16:21.705135,2023-12-06 10:16:21.705135,2024-02-28 10:16:21.705135,2023-12-06 10:16:21.705135,Marketing,SMB,Expansion,Closed Won,4668.484377907939,Account_0053,Opportunity_0053,Rep_32,Platform,Cold Call
00Q000000000000054,2024-07-20 10:16:21.705135,2024-08-02 10:16:21.705135,2024-08-06 10:16:21.705135,,2024-08-06 10:16:21.705135,Success,SMB,Expansion,Negotiation,0.0,Account_0054,Opportunity_0054,Rep_18,Mobile,Referral
00Q000000000000055,2023-10-12 10:16:21.705135,,,,,Marketing,Enterprise,Expansion,Qualification,0.0,Account_0055,Opportunity_0055,Rep_22,Platform,Cold Call
00Q000000000000056,2024-06-12 10:16:21.705135,,,,,Success,Mid Market,Expansion,Prospecting,0.0,Account_0056,Opportunity_0056,Rep_45,Mobile,Partner
00Q000000000000057,2023-07-26 10:16:21.705135,2023-07-29 10:16:21.705135,,,,Marketing,Mid Market,New Business,Proposal,0.0,Account_0057,Opportunity_0057,Rep_42,Integrations,Cold Call
00Q000000000000058,2024-10-16 10:16:21.705135,2024-10-17 10:16:21.705135,,,,Channel,SMB,Expansion,Proposal,0.0,Account_0058,Opportunity_0058,Rep_31,Integrations,Partner
00Q000000000000059,2024-07-02 10:16:21.705135,2024-07-13 10:16:21.705135,2024-07-24 10:16:21.705135,2024-08-27 10:16:21.705135,2024-07-24 10:16:21.705135,Channel,Enterprise,New Business,Closed Won,113258.0,Account_0059,Opportunity_0059,Rep_08,Integrations,Partner
00Q000000000000060,2025-06-21 10:16:21.705135,,,,,Success,SMB,Expansion,Prospecting,0.0,Account_0060,Opportunity_0060,Rep_39,Mobile,Website
00Q000000000000061,2024-01-30 10:16:21.705135,,,,,Success,Enterprise,New Business,Qualification,0.0,Account_0061,Opportunity_0061,Rep_09,Mobile,Website
00Q000000000000062,2023-09-09 10:16:21.705135,2023-09-20 10:16:21.705135,2023-10-10 10:16:21.705135,2023-12-11 10:16:21.705135,2023-10-10 10:16:21.705135,Marketing,Enterprise,Expansion,Closed Lost,0.0,Account_0062,Opportunity_0062,Rep_22,Platform,Website
00Q000000000000063,2024-03-30 10:16:21.705135,2024-04-06 10:16:21.705135,,,,Success,Mid Market,New Business,Qualification,0.0,Account_0063,Opportunity_0063,Rep_41,Integrations,Website
00Q000000000000064,2023-12-18 10:16:21.705135,,,,,Success,Enterprise,New Business,Qualification,0.0,Account_0064,Opportunity_0064,Rep_49,Mobile,Partner
00Q000000000000065,2025-03-17 10:16:21.705135,2025-03-20 10:16:21.705135,2025-04-01 10:16:21.705135,,2025-04-01 10:16:21.705135,Success,Mid Market,Expansion,Negotiation,0.0,Account_0065,Opportunity_0065,Rep_04,Integrations,Website
00Q000000000000066,2024-02-13 10:16:21.705135,2024-02-17 10:16:21.705135,2024-02-22 10:16:21.705135,,2024-02-22 10:16:21.705135,Success,Enterprise,Expansion,Proposal,0.0,Account_0066,Opportunity_0066,Rep_31,Mobile,Website
00Q000000000000067,2024-03-09 10:16:21.705135,,,,,BDR,SMB,New Business,Qualification,0.0,Account_0067,Opportunity_0067,Rep_17,Integrations,Partner
