Quarter,Comparison,Group,Metric,Type,% Change,Abs Change,Metric Type,Current Value,Comparison Value
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Total ARR,Drop/Decrease,-32.34%,-842012.5799999998,ARR,1761938.47,2603951.05
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,# of Opps,Drop/Decrease,-16.24%,-241.0,Count,1243.0,1484.0
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,# of Won Opps,Drop/Decrease,-27.34%,-181.0,Count,481.0,662.0
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Won ARR,Drop/Decrease,-32.45%,-845012.5799999998,ARR,1758938.47,2603951.05
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Avg Sales Price,Drop/Decrease,-7.03%,-276.6240646374936,Currency,3656.836735966736,3933.4608006042295
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Win Rate (Count),Drop/Decrease,-13.24%,-5.911386481030853,Percentage,38.727858293075684,44.63924477410654
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Avg Sales Cycle,Increase,20.22%,2.700011305751488,Days,16.051975051975052,13.351963746223564
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Pipegen ARR,No Change,0.00%,0.0,ARR,0.0,0.0
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,# of Pipegen Opps,No Change,0.00%,0.0,Count,0.0,0.0
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,Total ARR,Drop/Decrease,-11.94%,-210418.93999999994,ARR,1551519.53,1761938.47
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,# of Opps,Increase,28.72%,357.0,Count,1600.0,1243.0
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,# of Won Opps,Increase,16.01%,77.0,Count,558.0,481.0
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,Won ARR,Drop/Decrease,-13.27%,-233418.94000000018,ARR,1525519.5299999998,1758938.47
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,Avg Sales Price,Drop/Decrease,-25.24%,-922.9307682248009,Currency,2733.905967741935,3656.836735966736
