Quarter,Comparison,Group,Metric,Type,% Change,Abs Change,Metric Type
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Total ARR,Drop/Decrease,-32.34%,-842012.5799999998,ARR
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Won ARR,Drop/Decrease,-32.45%,-845012.5799999998,ARR
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,# of Won Opps,Drop/Decrease,-27.34%,-181.0,Count
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Win Rate (Count),Drop/Decrease,-13.24%,-5.911386481030853,Percentage
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Avg Sales Cycle,Increase,20.22%,2.700011305751488,Days
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,# of Opps,Increase,28.72%,357.0,Count
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,Avg Sales Price,Drop/Decrease,-25.24%,-922.9307682248009,Currency
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Won ARR,Drop/Decrease,-24.33%,-371230.07999999984,ARR
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,# of Opps,Drop/Decrease,-23.69%,-379.0,Count
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,# of Won Opps,Drop/Decrease,-21.86%,-122.0,Count
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Avg Sales Cycle,Increase,17.69%,2.8854197494327707,Days
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Total ARR,Increase,330.29%,4144715.5399999996,ARR
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Won ARR,Increase,46.22%,533549.7,ARR
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,# of Opps,Drop/Decrease,-22.69%,-277.0,Count
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,# of Won Opps,Drop/Decrease,-25.00%,-109.0,Count
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Avg Sales Cycle,Drop/Decrease,-24.03%,-4.613149847094801,Days
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Avg Sales Price,Increase,94.96%,2514.134747706422,Currency
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Total ARR,Increase,107.36%,2795652.8,ARR
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Won ARR,Drop/Decrease,-35.18%,-916111.8999999999,ARR
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,# of Opps,Drop/Decrease,-36.39%,-540.0,Count
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,# of Won Opps,Drop/Decrease,-50.60%,-335.0,Count
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Win Rate (Count),Drop/Decrease,-22.15%,-9.888979099292506,Percentage
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Avg Sales Price,Increase,31.22%,1228.1268140746693,Currency
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Total ARR,Increase,201.14%,3606529.51,ARR
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,# of Opps,Drop/Decrease,-31.94%,-443.0,Count
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,# of Won Opps,Drop/Decrease,-38.79%,-207.25,Count
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Avg Sales Price,Increase,59.17%,1918.6735218575545,Currency
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Total ARR,Drop/Decrease,-20.69%,-1116993.9299999997,ARR
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,# of Opps,Drop/Decrease,-31.36%,-296.0,Count
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Win Rate (Count),Increase,23.58%,8.195470759294494,Percentage
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Avg Sales Cycle,Increase,31.52%,4.596407555835237,Days
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Total ARR,Increase,143.06%,2520671.45,ARR
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,# of Opps,Drop/Decrease,-47.87%,-595.0,Count
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,# of Won Opps,Drop/Decrease,-42.41%,-204.0,Count
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Avg Sales Cycle,Increase,19.49%,3.1285303631874015,Days
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Avg Sales Price,Increase,44.27%,1618.8602676433725,Currency
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Total ARR,Increase,71.86%,1790622.38,ARR
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,# of Opps,Drop/Decrease,-48.24%,-604.0,Count
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,# of Won Opps,Drop/Decrease,-38.51%,-173.5,Count
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Win Rate (Count),Increase,19.13%,6.897528133596808,Percentage
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Avg Sales Cycle,Increase,15.99%,2.644218271484071,Days
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Avg Sales Price,Increase,48.61%,1725.7512072700965,Currency
FY2024Q3,vs Prev Year (FY2023Q3),Overall Inquarter,Total ARR,Increase,203.23%,3153083.16,ARR
