Quarter,Comparison_Type,Group,Metric,Current_Value,Comparison_Value,Absolute_Change,Percent_Change,Direction
FY2023Q2,QoQ vs FY2023Q1,Enterprise,# of Opps,733.0,675.0,58.0,8.592592592592592,Increase
FY2023Q2,QoQ vs FY2023Q1,Enterprise,# of Won Opps,229.0,256.0,-27.0,-10.546875,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise,Avg Sales Cycle,67.41048034934498,50.734375,16.67610534934498,32.869440787129,Increase
FY2023Q2,QoQ vs FY2023Q1,Enterprise,Avg Sales Price,5515.989781659388,7010.8990625,-1494.9092808406112,-21.3226473168984,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise,Total ARR,1263161.66,1794790.16,-531628.5,-29.620649357694273,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise,Win Rate (Count),31.241473396998636,37.925925925925924,-6.684452528927288,-17.6250213165075,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise,Won ARR,1263161.66,1794790.16,-531628.5,-29.620649357694273,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise - Expansion,# of Won Opps,185.0,218.0,-33.0,-15.137614678899084,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise - Expansion,Avg Sales Cycle,59.38918918918919,43.24311926605505,16.146069923134142,37.33789374396142,Increase
FY2023Q2,QoQ vs FY2023Q1,Enterprise - Expansion,Avg Sales Price,6276.617297297297,7947.993944954129,-1671.3766476568317,-21.028911939696727,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise - Expansion,Total ARR,1161174.2,1732662.68,-571488.48,-32.98325095799951,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise - Expansion,Win Rate (Count),48.30287206266319,57.21784776902887,-8.91497570636568,-15.580760294152865,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise - Expansion,Won ARR,1161174.2,1732662.6800000002,-571488.4800000002,-32.98325095799952,Decrease
FY2023Q2,QoQ vs FY2023Q1,Enterprise - New Business,# of Opps,350.0,294.0,56.0,19.047619047619047,Increase
FY2023Q2,QoQ vs FY2023Q1,Enterprise - New Business,# of Won Opps,44.0,38.0,6.0,15.789473684210526,Increase
FY2023Q2,QoQ vs FY2023Q1,Enterprise - New Business,Avg Sales Price,2317.896818181818,1634.9336842105263,682.9631339712919,41.773139826223584,Increase
FY2023Q2,QoQ vs FY2023Q1,Enterprise - New Business,Total ARR,101987.46,62127.479999999996,39859.98000000001,64.15837243036418,Increase
FY2023Q2,QoQ vs FY2023Q1,Enterprise - New Business,Won ARR,101987.45999999999,62127.479999999996,39859.979999999996,64.15837243036414,Increase
FY2023Q2,QoQ vs FY2023Q1,Expansion,# of Opps,1013.0,1122.0,-109.0,-9.714795008912656,Decrease
FY2023Q2,QoQ vs FY2023Q1,Expansion,# of Won Opps,527.0,659.0,-132.0,-20.030349013657055,Decrease
FY2023Q2,QoQ vs FY2023Q1,Expansion,Avg Sales Cycle,44.2011385199241,31.71320182094082,12.48793669898328,39.37772278400871,Increase
FY2023Q2,QoQ vs FY2023Q1,Expansion,Avg Sales Price,4966.927039848197,5518.595386949924,-551.6683471017277,-9.99653550260784,Decrease
FY2023Q2,QoQ vs FY2023Q1,Expansion,Total ARR,2617570.55,3636754.36,-1019183.81,-28.024543565818398,Decrease
FY2023Q2,QoQ vs FY2023Q1,Expansion,Win Rate (Count),52.02369200394866,58.73440285204992,-6.710710848101257,-11.42551983546223,Decrease
FY2023Q2,QoQ vs FY2023Q1,Expansion,Won ARR,2617570.55,3636754.3600000003,-1019183.8100000005,-28.024543565818412,Decrease
FY2023Q2,QoQ vs FY2023Q1,Mid Market,# of Opps,797.0,905.0,-108.0,-11.933701657458563,Decrease
FY2023Q2,QoQ vs FY2023Q1,Mid Market,# of Won Opps,247.0,302.0,-55.0,-18.211920529801322,Decrease
FY2023Q2,QoQ vs FY2023Q1,Mid Market,Avg Sales Cycle,50.24696356275304,41.11258278145695,9.134380781296088,22.217968717392225,Increase
FY2023Q2,QoQ vs FY2023Q1,Mid Market,Total ARR,1110246.98,1368987.8,-258740.82000000007,-18.900155282610996,Decrease
FY2023Q2,QoQ vs FY2023Q1,Mid Market,Won ARR,1110246.98,1368987.8,-258740.82000000007,-18.900155282610996,Decrease
FY2023Q2,QoQ vs FY2023Q1,Mid Market - Expansion,# of Opps,359.0,413.0,-54.0,-13.075060532687651,Decrease
FY2023Q2,QoQ vs FY2023Q1,Mid Market - Expansion,# of Won Opps,187.0,230.0,-43.0,-18.695652173913043,Decrease
FY2023Q2,QoQ vs FY2023Q1,Mid Market - Expansion,Avg Sales Cycle,41.32085561497326,31.178260869565218,10.142594745408044,32.530983007165666,Increase
FY2023Q2,QoQ vs FY2023Q1,Mid Market - Expansion,Total ARR,1002689.66,1155665.18,-152975.5199999999,-13.237010394308143,Decrease
FY2023Q2,QoQ vs FY2023Q1,Mid Market - Expansion,Won ARR,1002689.6599999999,1155665.18,-152975.52000000002,-13.237010394308152,Decrease
FY2023Q2,QoQ vs FY2023Q1,Mid Market - New Business,# of Opps,438.0,492.0,-54.0,-10.975609756097562,Decrease
FY2023Q2,QoQ vs FY2023Q1,Mid Market - New Business,# of Won Opps,60.0,72.0,-12.0,-16.666666666666664,Decrease
FY2023Q2,QoQ vs FY2023Q1,Mid Market - New Business,Avg Sales Price,1792.622,2962.8141666666666,-1170.1921666666665,-39.49596906319639,Decrease
FY2023Q2,QoQ vs FY2023Q1,Mid Market - New Business,Total ARR,107557.32,213322.62,-105765.29999999999,-49.579974219330325,Decrease
FY2023Q2,QoQ vs FY2023Q1,Mid Market - New Business,Won ARR,107557.32,213322.62,-105765.29999999999,-49.579974219330325,Decrease
FY2023Q2,QoQ vs FY2023Q1,New Business,# of Opps,1645.0,1689.0,-44.0,-2.605091770278271,Decrease
FY2023Q2,QoQ vs FY2023Q1,New Business,# of Won Opps,269.0,312.0,-43.0,-13.782051282051283,Decrease
FY2023Q2,QoQ vs FY2023Q1,New Business,Avg Sales Price,2051.3931598513013,2555.101794871795,-503.7086350204936,-19.713838252216004,Decrease
FY2023Q2,QoQ vs FY2023Q1,New Business,Total ARR,551824.76,797191.76,-245367.0,-30.778918236686238,Decrease
FY2023Q2,QoQ vs FY2023Q1,New Business,Won ARR,551824.76,797191.76,-245367.0,-30.778918236686238,Decrease
FY2023Q2,QoQ vs FY2023Q1,Overall Inquarter,# of Opps,1220.0,1458.0,-238.0,-16.323731138545952,Decrease
FY2023Q2,QoQ vs FY2023Q1,Overall Inquarter,# of Won Opps,473.0,649.0,-176.0,-27.11864406779661,Decrease
FY2023Q2,QoQ vs FY2023Q1,Overall Inquarter,Avg Sales Cycle,16.02536997885835,13.49306625577812,2.532303723080231,18.767444516147883,Increase
FY2023Q2,QoQ vs FY2023Q1,Overall Inquarter,Total ARR,1752207.07,2573097.25,-820890.1799999999,-31.90280429548475,Decrease
FY2023Q2,QoQ vs FY2023Q1,Overall Inquarter,Win Rate (Count),38.77049180327869,44.51303155006859,-5.742539746789902,-12.900805779383168,Decrease
FY2023Q2,QoQ vs FY2023Q1,Overall Inquarter,Won ARR,1752207.0699999998,2573097.2499999995,-820890.1799999997,-31.902804295484742,Decrease
FY2023Q2,QoQ vs FY2023Q1,Overall Total,# of Opps,2658.0,2811.0,-153.0,-5.44290288153682,Decrease
FY2023Q2,QoQ vs FY2023Q1,Overall Total,# of Won Opps,796.0,971.0,-175.0,-18.022657054582904,Decrease
FY2023Q2,QoQ vs FY2023Q1,Overall Total,Avg Sales Cycle,48.768844221105525,38.199794026776516,10.569050194329009,27.66781984981524,Increase
FY2023Q2,QoQ vs FY2023Q1,Overall Total,Avg Sales Price,3981.6523994974873,4566.3708753862,-584.7184758887129,-12.80488361207105,Decrease
