Quarter,Comparison,Group,Metric,% Change,Abs Change,Type
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Total ARR,-20.69%,"-1,116,993.93",Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,# of Opps,-31.36%,-296.00,Drop/Decrease
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Win Rate (Count),23.58%,8.20,Increase
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Avg Sales Cycle,31.52%,4.60,Increase
FY2024Q4,vs Prev Q (FY2024Q3),Overall Inquarter,# of Opps,-24.86%,-174.00,Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,# of Opps,-41.74%,-394.00,Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,# of Won Opps,-22.32%,-73.00,Drop/Decrease
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Win Rate (Count),33.14%,11.52,Increase
FY2025Q1,vs Prev Year (FY2024Q1),Overall Inquarter,Avg Sales Cycle,48.64%,7.09,Increase
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,# of Opps,-21.93%,-154.50,Drop/Decrease
FY2025Q1,vs Avg of FY2024Q1-FY2024Q4,Overall Inquarter,Avg Sales Cycle,21.07%,3.77,Increase
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,# of Opps,-22.22%,-144.00,Drop/Decrease
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,# of Won Opps,-21.30%,-59.00,Drop/Decrease
FY2025Q2,vs Prev Year (FY2024Q2),Overall Inquarter,Avg Sales Price,29.57%,"1,560.06",Increase
FY2025Q2,vs Avg of FY2024Q2-FY2025Q1,Overall Inquarter,Avg Sales Price,24.85%,"1,360.76",Increase
FY2025Q3,vs Prev Q (FY2025Q2),Overall Inquarter,Total ARR,-35.99%,"-1,521,824.91",Drop/Decrease
FY2025Q3,vs Prev Q (FY2025Q2),Overall Inquarter,Avg Sales Price,-21.01%,"-1,436.25",Drop/Decrease
FY2025Q3,vs Prev Year (FY2024Q3),Overall Inquarter,Total ARR,-42.46%,"-1,997,526.51",Drop/Decrease
FY2025Q3,vs Prev Year (FY2024Q3),Overall Inquarter,# of Opps,-36.14%,-253.00,Drop/Decrease
FY2025Q3,vs Prev Year (FY2024Q3),Overall Inquarter,# of Won Opps,-33.89%,-102.00,Drop/Decrease
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Inquarter,Total ARR,-37.65%,"-1,634,457.23",Drop/Decrease
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Inquarter,# of Opps,-21.58%,-123.00,Drop/Decrease
FY2025Q3,vs Avg of FY2024Q3-FY2025Q2,Overall Inquarter,# of Won Opps,-21.81%,-55.50,Drop/Decrease
FY2025Q4,vs Prev Year (FY2024Q4),Overall Inquarter,Total ARR,-33.01%,"-1,313,064.66",Drop/Decrease
FY2025Q4,vs Prev Year (FY2024Q4),Overall Inquarter,Avg Sales Cycle,18.73%,3.69,Increase
FY2025Q4,vs Avg of FY2024Q4-FY2025Q3,Overall Inquarter,Total ARR,-30.64%,"-1,177,275.03",Drop/Decrease
FY2026Q1,vs Prev Q (FY2025Q4),Overall Inquarter,Total ARR,124.04%,"3,305,594.73",Increase
FY2026Q1,vs Prev Q (FY2025Q4),Overall Inquarter,# of Opps,60.36%,271.00,Increase
