Quarter,Comparison,Group,Metric,Type,% Change,Abs Change,Current Value,Comparison Value
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Total ARR,Decrease,-32.34%,-842012.5799999998,1761938.47,2603951.05
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,# of Opps,Decrease,-16.24%,-241.0,1243.0,1484.0
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,# of Won Opps,Decrease,-27.34%,-181.0,481.0,662.0
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Won ARR,Decrease,-32.45%,-845012.5799999998,1758938.47,2603951.05
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Avg Sales Price,Decrease,-7.03%,-276.6240646374936,3656.836735966736,3933.4608006042295
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Win Rate (Count),Decrease,-13.24%,-5.911386481030853,38.727858293075684,44.63924477410654
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Avg Sales Cycle,Increase,20.22%,2.700011305751488,16.051975051975052,13.351963746223564
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,Pipegen ARR,No Change,0.00%,0.0,0.0,0.0
FY2023Q2,vs Prev Q (FY2023Q1),Overall Inquarter,# of Pipegen Opps,No Change,0.00%,0.0,0.0,0.0
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,Total ARR,Decrease,-11.94%,-210418.93999999994,1551519.53,1761938.47
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,# of Opps,Increase,28.72%,357.0,1600.0,1243.0
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,# of Won Opps,Increase,16.01%,77.0,558.0,481.0
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,Won ARR,Decrease,-13.27%,-233418.9399999997,1525519.5300000003,1758938.47
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,Avg Sales Price,Decrease,-25.24%,-922.9307682248,2733.905967741936,3656.836735966736
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,Win Rate (Count),Decrease,-9.61%,-3.72158476735423,35.006273525721454,38.727858293075684
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,Avg Sales Cycle,Increase,1.62%,0.25985290501419556,16.311827956989248,16.051975051975052
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,Pipegen ARR,No Change,0.00%,0.0,0.0,0.0
FY2023Q3,vs Prev Q (FY2023Q2),Overall Inquarter,# of Pipegen Opps,No Change,0.00%,0.0,0.0,0.0
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Total ARR,Decrease,-19.12%,-296631.22,1254888.31,1551519.53
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,# of Opps,Decrease,-23.69%,-379.0,1221.0,1600.0
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,# of Won Opps,Decrease,-21.86%,-122.0,436.0,558.0
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Won ARR,Decrease,-24.33%,-371230.0800000003,1154289.45,1525519.5300000003
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Avg Sales Price,Decrease,-3.16%,-86.45310076945907,2647.452866972477,2733.905967741936
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Win Rate (Count),Increase,2.01%,0.7021621827142539,35.70843570843571,35.006273525721454
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Avg Sales Cycle,Increase,17.69%,2.8854197494327707,19.19724770642202,16.311827956989248
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,Pipegen ARR,No Change,0.00%,0.0,0.0,0.0
FY2023Q4,vs Prev Q (FY2023Q3),Overall Inquarter,# of Pipegen Opps,No Change,0.00%,0.0,0.0,0.0
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Total ARR,Increase,330.29%,4144715.5399999996,5399603.85,1254888.31
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,# of Opps,Decrease,-22.69%,-277.0,944.0,1221.0
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,# of Won Opps,Decrease,-25.00%,-109.0,327.0,436.0
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Won ARR,Increase,46.22%,533549.7,1687839.15,1154289.45
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Avg Sales Price,Increase,94.96%,2514.134747706422,5161.587614678899,2647.452866972477
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Win Rate (Count),Decrease,-2.68%,-0.958170033621677,34.75026567481403,35.70843570843571
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Avg Sales Cycle,Decrease,-24.03%,-4.613149847094801,14.584097859327217,19.19724770642202
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,Pipegen ARR,Increase,0.00%,28257884.25,28257884.25,0.0
FY2024Q1,vs Prev Q (FY2023Q4),Overall Inquarter,# of Pipegen Opps,Increase,0.00%,1878.0,1878.0,0.0
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Total ARR,Increase,107.36%,2795652.8,5399603.85,2603951.05
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,# of Opps,Decrease,-36.39%,-540.0,944.0,1484.0
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,# of Won Opps,Decrease,-50.60%,-335.0,327.0,662.0
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Won ARR,Decrease,-35.18%,-916111.8999999999,1687839.15,2603951.05
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Avg Sales Price,Increase,31.22%,1228.1268140746693,5161.587614678899,3933.4608006042295
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Win Rate (Count),Decrease,-22.15%,-9.888979099292506,34.75026567481403,44.63924477410654
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Avg Sales Cycle,Increase,9.23%,1.232134113103653,14.584097859327217,13.351963746223564
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,Pipegen ARR,Increase,0.00%,28257884.25,28257884.25,0.0
FY2024Q1,vs Prev Year (FY2023Q1),Overall Inquarter,# of Pipegen Opps,Increase,0.00%,1878.0,1878.0,0.0
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Total ARR,Increase,201.14%,3606529.51,5399603.85,1793074.3399999999
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,# of Opps,Decrease,-31.94%,-443.0,944.0,1387.0
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,# of Won Opps,Decrease,-38.79%,-207.25,327.0,534.25
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Won ARR,Decrease,-4.14%,-72835.4750000001,1687839.15,1760674.625
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Avg Sales Price,Increase,59.17%,1918.673521857554,5161.587614678899,3242.9140928213446
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Win Rate (Count),Decrease,-9.79%,-3.7701874005208182,34.75026567481403,38.52045307533485
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Avg Sales Cycle,Decrease,-10.13%,-1.6441557560752553,14.584097859327217,16.228253615402473
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,Pipegen ARR,Increase,0.00%,28257884.25,28257884.25,0.0
FY2024Q1,vs Avg of FY2023Q1-FY2023Q4,Overall Inquarter,# of Pipegen Opps,Increase,0.00%,1878.0,1878.0,0.0
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Total ARR,Decrease,-20.69%,-1116993.9299999997,4282609.92,5399603.85
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,# of Opps,Decrease,-31.36%,-296.0,648.0,944.0
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,# of Won Opps,Decrease,-15.29%,-50.0,277.0,327.0
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Won ARR,Decrease,-13.42%,-226471.07999999984,1461368.07,1687839.15
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Avg Sales Price,Increase,2.21%,114.10938893120965,5275.697003610108,5161.587614678899
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Win Rate (Count),Increase,23.58%,8.195470759294494,42.945736434108525,34.75026567481403
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Avg Sales Cycle,Increase,31.52%,4.596407555835237,19.180505415162454,14.584097859327217
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,Pipegen ARR,Decrease,-16.41%,-4636415.079999998,23621469.17,28257884.25
FY2024Q2,vs Prev Q (FY2024Q1),Overall Inquarter,# of Pipegen Opps,Decrease,-17.84%,-335.0,1543.0,1878.0
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Total ARR,Increase,143.06%,2520671.45,4282609.92,1761938.47
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,# of Opps,Decrease,-47.87%,-595.0,648.0,1243.0
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,# of Won Opps,Decrease,-42.41%,-204.0,277.0,481.0
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Won ARR,Decrease,-16.92%,-297570.3999999999,1461368.07,1758938.47
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Avg Sales Price,Increase,44.27%,1618.8602676433725,5275.697003610108,3656.836735966736
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Win Rate (Count),Increase,10.89%,4.217878141032841,42.945736434108525,38.727858293075684
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Avg Sales Cycle,Increase,19.49%,3.1285303631874015,19.180505415162454,16.051975051975052
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,Pipegen ARR,Increase,0.00%,23621469.17,23621469.17,0.0
FY2024Q2,vs Prev Year (FY2023Q2),Overall Inquarter,# of Pipegen Opps,Increase,0.00%,1543.0,1543.0,0.0
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Total ARR,Increase,71.86%,1790622.38,4282609.92,2491987.54
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,# of Opps,Decrease,-48.24%,-604.0,648.0,1252.0
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,# of Won Opps,Decrease,-38.51%,-173.5,277.0,450.5
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Won ARR,Decrease,-4.59%,-70278.57999999984,1461368.07,1531646.65
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Avg Sales Price,Increase,48.61%,1725.7512072700965,5275.697003610108,3549.945796340012
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Win Rate (Count),Increase,19.13%,6.897528133596808,42.945736434108525,36.04820830051172
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Avg Sales Cycle,Increase,15.99%,2.644218271484071,19.180505415162454,16.536287143678383
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,Pipegen ARR,Increase,234.37%,16556998.107500002,23621469.17,7064471.0625
FY2024Q2,vs Avg of FY2023Q2-FY2024Q1,Overall Inquarter,# of Pipegen Opps,Increase,228.65%,1073.5,1543.0,469.5
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,Total ARR,Increase,9.85%,421992.7700000005,4704602.69,4282609.92
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,# of Opps,Increase,8.02%,52.0,700.0,648.0
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,# of Won Opps,Increase,8.66%,24.0,301.0,277.0
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,Won ARR,Increase,5.72%,83641.73999999999,1545009.81,1461368.07
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,Avg Sales Price,Decrease,-2.71%,-142.77404679947722,5132.922956810631,5275.697003610108
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,Win Rate (Count),Increase,0.99%,0.42602149096352093,43.371757925072046,42.945736434108525
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,Avg Sales Cycle,Decrease,-5.34%,-1.0243592357604605,18.156146179401993,19.180505415162454
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,Pipegen ARR,Decrease,-39.12%,-9241051.310000002,14380417.86,23621469.17
FY2024Q3,vs Prev Q (FY2024Q2),Overall Inquarter,# of Pipegen Opps,Decrease,-17.69%,-273.0,1270.0,1543.0
